key,building,floor,room,sensor_type,sensor_id
POLOA_4_413_co2_1,POLOA,4,413,co2,1
POLOA_4_413_humidity_1,POLOA,4,413,humidity,1
POLOA_4_413_temperature_1,POLOA,4,413,temperature,1
POLOA_4_413_light_1,POLOA,4,413,light,1
POLOA_4_413_pir_1,POLOA,4,413,pir,1
POLOA_4_415_co2_1,POLOA,4,415,co2,1
POLOA_4_415_humidity_1,POLOA,4,415,humidity,1
POLOA_4_415_temperature_1,POLOA,4,415,temperature,1
POLOA_4_415_light_1,POLOA,4,415,light,1
POLOA_4_415_pir_1,POLOA,4,415,pir,1
POLOA_4_417_co2_1,POLOA,4,417,co2,1
POLOA_4_417_humidity_1,POLOA,4,417,humidity,1
POLOA_4_417_temperature_1,POLOA,4,417,temperature,1
POLOA_4_417_light_1,POLOA,4,417,light,1
POLOA_4_417_pir_1,POLOA,4,417,pir,1
POLOA_4_419_co2_1,POLOA,4,419,co2,1
POLOA_4_419_humidity_1,POLOA,4,419,humidity,1
POLOA_4_419_temperature_1,POLOA,4,419,temperature,1
POLOA_4_419_light_1,POLOA,4,419,light,1
POLOA_4_419_pir_1,POLOA,4,419,pir,1
POLOA_4_421_co2_1,POLOA,4,421,co2,1
POLOA_4_421_humidity_1,POLOA,4,421,humidity,1
POLOA_4_421_temperature_1,POLOA,4,421,temperature,1
POLOA_4_421_light_1,POLOA,4,421,light,1
POLOA_4_421_pir_1,POLOA,4,421,pir,1
POLOA_4_422_co2_1,POLOA,4,422,co2,1
POLOA_4_422_humidity_1,POLOA,4,422,humidity,1
POLOA_4_422_temperature_1,POLOA,4,422,temperature,1
POLOA_4_422_light_1,POLOA,4,422,light,1
POLOA_4_422_pir_1,POLOA,4,422,pir,1
POLOA_4_423_co2_1,POLOA,4,423,co2,1
POLOA_4_423_humidity_1,POLOA,4,423,humidity,1
POLOA_4_423_temperature_1,POLOA,4,423,temperature,1
POLOA_4_423_light_1,POLOA,4,423,light,1
POLOA_4_423_pir_1,POLOA,4,423,pir,1
POLOA_4_424_co2_1,POLOA,4,424,co2,1
POLOA_4_424_humidity_1,POLOA,4,424,humidity,1
POLOA_4_424_temperature_1,POLOA,4,424,temperature,1
POLOA_4_424_light_1,POLOA,4,424,light,1
POLOA_4_424_pir_1,POLOA,4,424,pir,1
POLOA_4_442_co2_1,POLOA,4,442,co2,1
POLOA_4_442_humidity_1,POLOA,4,442,humidity,1
POLOA_4_442_temperature_1,POLOA,4,442,temperature,1
POLOA_4_442_light_1,POLOA,4,442,light,1
POLOA_4_442_pir_1,POLOA,4,442,pir,1
POLOA_4_446_co2_1,POLOA,4,446,co2,1
POLOA_4_446_humidity_1,POLOA,4,446,humidity,1
POLOA_4_446_temperature_1,POLOA,4,446,temperature,1
POLOA_4_446_light_1,POLOA,4,446,light,1
POLOA_4_446_pir_1,POLOA,4,446,pir,1
POLOA_4_448_co2_1,POLOA,4,448,co2,1
POLOA_4_448_humidity_1,POLOA,4,448,humidity,1
POLOA_4_448_temperature_1,POLOA,4,448,temperature,1
POLOA_4_448_light_1,POLOA,4,448,light,1
POLOA_4_448_pir_1,POLOA,4,448,pir,1
POLOA_4_452_co2_1,POLOA,4,452,co2,1
POLOA_4_452_humidity_1,POLOA,4,452,humidity,1
POLOA_4_452_temperature_1,POLOA,4,452,temperature,1
POLOA_4_452_light_1,POLOA,4,452,light,1
POLOA_4_452_pir_1,POLOA,4,452,pir,1
POLOA_4_454_co2_1,POLOA,4,454,co2,1
POLOA_4_454_humidity_1,POLOA,4,454,humidity,1
POLOA_4_454_temperature_1,POLOA,4,454,temperature,1
POLOA_4_454_light_1,POLOA,4,454,light,1
POLOA_4_454_pir_1,POLOA,4,454,pir,1
POLOA_4_456_co2_1,POLOA,4,456,co2,1
POLOA_4_456_humidity_1,POLOA,4,456,humidity,1
POLOA_4_456_temperature_1,POLOA,4,456,temperature,1
POLOA_4_456_light_1,POLOA,4,456,light,1
POLOA_4_456_pir_1,POLOA,4,456,pir,1
POLOA_4_458_co2_1,POLOA,4,458,co2,1
POLOA_4_458_humidity_1,POLOA,4,458,humidity,1
POLOA_4_458_temperature_1,POLOA,4,458,temperature,1
POLOA_4_458_light_1,POLOA,4,458,light,1
POLOA_4_458_pir_1,POLOA,4,458,pir,1
POLOA_4_462_co2_1,POLOA,4,462,co2,1
POLOA_4_462_humidity_1,POLOA,4,462,humidity,1
POLOA_4_462_temperature_1,POLOA,4,462,temperature,1
POLOA_4_462_light_1,POLOA,4,462,light,1
POLOA_4_462_pir_1,POLOA,4,462,pir,1
POLOA_5_510_co2_1,POLOA,5,510,co2,1
POLOA_5_510_humidity_1,POLOA,5,510,humidity,1
POLOA_5_510_temperature_1,POLOA,5,510,temperature,1
POLOA_5_510_light_1,POLOA,5,510,light,1
POLOA_5_510_pir_1,POLOA,5,510,pir,1
POLOA_5_511_co2_1,POLOA,5,511,co2,1
POLOA_5_511_humidity_1,POLOA,5,511,humidity,1
POLOA_5_511_temperature_1,POLOA,5,511,temperature,1
POLOA_5_511_light_1,POLOA,5,511,light,1
POLOA_5_511_pir_1,POLOA,5,511,pir,1
POLOA_5_513_co2_1,POLOA,5,513,co2,1
POLOA_5_513_humidity_1,POLOA,5,513,humidity,1
POLOA_5_513_temperature_1,POLOA,5,513,temperature,1
POLOA_5_513_light_1,POLOA,5,513,light,1
POLOA_5_513_pir_1,POLOA,5,513,pir,1
POLOA_5_552_co2_1,POLOA,5,552,co2,1
POLOA_5_552_humidity_1,POLOA,5,552,humidity,1
POLOA_5_552_temperature_1,POLOA,5,552,temperature,1
POLOA_5_552_light_1,POLOA,5,552,light,1
POLOA_5_552_pir_1,POLOA,5,552,pir,1
POLOA_5_554_co2_1,POLOA,5,554,co2,1
POLOA_5_554_humidity_1,POLOA,5,554,humidity,1
POLOA_5_554_temperature_1,POLOA,5,554,temperature,1
POLOA_5_554_light_1,POLOA,5,554,light,1
POLOA_5_554_pir_1,POLOA,5,554,pir,1
POLOA_5_556_co2_1,POLOA,5,556,co2,1
POLOA_5_556_humidity_1,POLOA,5,556,humidity,1
POLOA_5_556_temperature_1,POLOA,5,556,temperature,1
POLOA_5_556_light_1,POLOA,5,556,light,1
POLOA_5_556_pir_1,POLOA,5,556,pir,1
POLOA_5_558_co2_1,POLOA,5,558,co2,1
POLOA_5_558_humidity_1,POLOA,5,558,humidity,1
POLOA_5_558_temperature_1,POLOA,5,558,temperature,1
POLOA_5_558_light_1,POLOA,5,558,light,1
POLOA_5_558_pir_1,POLOA,5,558,pir,1
POLOA_5_562_co2_1,POLOA,5,562,co2,1
POLOA_5_562_humidity_1,POLOA,5,562,humidity,1
POLOA_5_562_temperature_1,POLOA,5,562,temperature,1
POLOA_5_562_light_1,POLOA,5,562,light,1
POLOA_5_562_pir_1,POLOA,5,562,pir,1
POLOA_5_564_co2_1,POLOA,5,564,co2,1
POLOA_5_564_humidity_1,POLOA,5,564,humidity,1
POLOA_5_564_temperature_1,POLOA,5,564,temperature,1
POLOA_5_564_light_1,POLOA,5,564,light,1
POLOA_5_564_pir_1,POLOA,5,564,pir,1
POLOA_6_621_co2_1,POLOA,6,621,co2,1
POLOA_6_621_humidity_1,POLOA,6,621,humidity,1
POLOA_6_621_temperature_1,POLOA,6,621,temperature,1
POLOA_6_621_light_1,POLOA,6,621,light,1
POLOA_6_621_pir_1,POLOA,6,621,pir,1
POLOA_6_621A_co2_1,POLOA,6,621A,co2,1
POLOA_6_621A_humidity_1,POLOA,6,621A,humidity,1
POLOA_6_621A_temperature_1,POLOA,6,621A,temperature,1
POLOA_6_621A_light_1,POLOA,6,621A,light,1
POLOA_6_621A_pir_1,POLOA,6,621A,pir,1
POLOA_6_621C_co2_1,POLOA,6,621C,co2,1
POLOA_6_621C_humidity_1,POLOA,6,621C,humidity,1
POLOA_6_621C_temperature_1,POLOA,6,621C,temperature,1
POLOA_6_621C_light_1,POLOA,6,621C,light,1
POLOA_6_621C_pir_1,POLOA,6,621C,pir,1
POLOA_6_621D_co2_1,POLOA,6,621D,co2,1
POLOA_6_621D_humidity_1,POLOA,6,621D,humidity,1
POLOA_6_621D_temperature_1,POLOA,6,621D,temperature,1
POLOA_6_621D_light_1,POLOA,6,621D,light,1
POLOA_6_621D_pir_1,POLOA,6,621D,pir,1
POLOA_6_621E_co2_1,POLOA,6,621E,co2,1
POLOA_6_621E_humidity_1,POLOA,6,621E,humidity,1
POLOA_6_621E_temperature_1,POLOA,6,621E,temperature,1
POLOA_6_621E_light_1,POLOA,6,621E,light,1
POLOA_6_621E_pir_1,POLOA,6,621E,pir,1
POLOA_6_640_co2_1,POLOA,6,640,co2,1
POLOA_6_640_humidity_1,POLOA,6,640,humidity,1
POLOA_6_640_temperature_1,POLOA,6,640,temperature,1
POLOA_6_640_light_1,POLOA,6,640,light,1
POLOA_6_640_pir_1,POLOA,6,640,pir,1
POLOA_6_644_co2_1,POLOA,6,644,co2,1
POLOA_6_644_humidity_1,POLOA,6,644,humidity,1
POLOA_6_644_temperature_1,POLOA,6,644,temperature,1
POLOA_6_644_light_1,POLOA,6,644,light,1
POLOA_6_644_pir_1,POLOA,6,644,pir,1
POLOA_6_648_co2_1,POLOA,6,648,co2,1
POLOA_6_648_humidity_1,POLOA,6,648,humidity,1
POLOA_6_648_temperature_1,POLOA,6,648,temperature,1
POLOA_6_648_light_1,POLOA,6,648,light,1
POLOA_6_648_pir_1,POLOA,6,648,pir,1
POLOA_6_656A_co2_1,POLOA,6,656A,co2,1
POLOA_6_656A_humidity_1,POLOA,6,656A,humidity,1
POLOA_6_656A_temperature_1,POLOA,6,656A,temperature,1
POLOA_6_656A_light_1,POLOA,6,656A,light,1
POLOA_6_656A_pir_1,POLOA,6,656A,pir,1
POLOA_6_656B_co2_1,POLOA,6,656B,co2,1
POLOA_6_656B_humidity_1,POLOA,6,656B,humidity,1
POLOA_6_656B_temperature_1,POLOA,6,656B,temperature,1
POLOA_6_656B_light_1,POLOA,6,656B,light,1
POLOA_6_656B_pir_1,POLOA,6,656B,pir,1
POLOA_6_664_co2_1,POLOA,6,664,co2,1
POLOA_6_664_humidity_1,POLOA,6,664,humidity,1
POLOA_6_664_temperature_1,POLOA,6,664,temperature,1
POLOA_6_664_light_1,POLOA,6,664,light,1
POLOA_6_664_pir_1,POLOA,6,664,pir,1
POLOA_6_666_co2_1,POLOA,6,666,co2,1
POLOA_6_666_humidity_1,POLOA,6,666,humidity,1
POLOA_6_666_temperature_1,POLOA,6,666,temperature,1
POLOA_6_666_light_1,POLOA,6,666,light,1
POLOA_6_666_pir_1,POLOA,6,666,pir,1
POLOA_6_668_co2_1,POLOA,6,668,co2,1
POLOA_6_668_humidity_1,POLOA,6,668,humidity,1
POLOA_6_668_temperature_1,POLOA,6,668,temperature,1
POLOA_6_668_light_1,POLOA,6,668,light,1
POLOA_6_668_pir_1,POLOA,6,668,pir,1
POLOA_7_717_co2_1,POLOA,7,717,co2,1
POLOA_7_717_humidity_1,POLOA,7,717,humidity,1
POLOA_7_717_temperature_1,POLOA,7,717,temperature,1
POLOA_7_717_light_1,POLOA,7,717,light,1
POLOA_7_717_pir_1,POLOA,7,717,pir,1
POLOA_7_719_co2_1,POLOA,7,719,co2,1
POLOA_7_719_humidity_1,POLOA,7,719,humidity,1
POLOA_7_719_temperature_1,POLOA,7,719,temperature,1
POLOA_7_719_light_1,POLOA,7,719,light,1
POLOA_7_719_pir_1,POLOA,7,719,pir,1
POLOA_7_721_co2_1,POLOA,7,721,co2,1
POLOA_7_721_humidity_1,POLOA,7,721,humidity,1
POLOA_7_721_temperature_1,POLOA,7,721,temperature,1
POLOA_7_721_light_1,POLOA,7,721,light,1
POLOA_7_721_pir_1,POLOA,7,721,pir,1
POLOA_7_722_co2_1,POLOA,7,722,co2,1
POLOA_7_722_humidity_1,POLOA,7,722,humidity,1
POLOA_7_722_temperature_1,POLOA,7,722,temperature,1
POLOA_7_722_light_1,POLOA,7,722,light,1
POLOA_7_722_pir_1,POLOA,7,722,pir,1
POLOA_7_723_co2_1,POLOA,7,723,co2,1
POLOA_7_723_humidity_1,POLOA,7,723,humidity,1
POLOA_7_723_temperature_1,POLOA,7,723,temperature,1
POLOA_7_723_light_1,POLOA,7,723,light,1
POLOA_7_723_pir_1,POLOA,7,723,pir,1
POLOA_7_724_co2_1,POLOA,7,724,co2,1
POLOA_7_724_humidity_1,POLOA,7,724,humidity,1
POLOA_7_724_temperature_1,POLOA,7,724,temperature,1
POLOA_7_724_light_1,POLOA,7,724,light,1
POLOA_7_724_pir_1,POLOA,7,724,pir,1
POLOA_7_726_co2_1,POLOA,7,726,co2,1
POLOA_7_726_humidity_1,POLOA,7,726,humidity,1
POLOA_7_726_temperature_1,POLOA,7,726,temperature,1
POLOA_7_726_light_1,POLOA,7,726,light,1
POLOA_7_726_pir_1,POLOA,7,726,pir,1
POLOA_7_734_co2_1,POLOA,7,734,co2,1
POLOA_7_734_humidity_1,POLOA,7,734,humidity,1
POLOA_7_734_temperature_1,POLOA,7,734,temperature,1
POLOA_7_734_light_1,POLOA,7,734,light,1
POLOA_7_734_pir_1,POLOA,7,734,pir,1
POLOA_7_746_co2_1,POLOA,7,746,co2,1
POLOA_7_746_humidity_1,POLOA,7,746,humidity,1
POLOA_7_746_temperature_1,POLOA,7,746,temperature,1
POLOA_7_746_light_1,POLOA,7,746,light,1
POLOA_7_746_pir_1,POLOA,7,746,pir,1
POLOA_7_748_co2_1,POLOA,7,748,co2,1
POLOA_7_748_humidity_1,POLOA,7,748,humidity,1
POLOA_7_748_temperature_1,POLOA,7,748,temperature,1
POLOA_7_748_light_1,POLOA,7,748,light,1
POLOA_7_748_pir_1,POLOA,7,748,pir,1
POLOA_7_752_co2_1,POLOA,7,752,co2,1
POLOA_7_752_humidity_1,POLOA,7,752,humidity,1
POLOA_7_752_temperature_1,POLOA,7,752,temperature,1
POLOA_7_752_light_1,POLOA,7,752,light,1
POLOA_7_752_pir_1,POLOA,7,752,pir,1
POLOA_7_754_co2_1,POLOA,7,754,co2,1
POLOA_7_754_humidity_1,POLOA,7,754,humidity,1
POLOA_7_754_temperature_1,POLOA,7,754,temperature,1
POLOA_7_754_light_1,POLOA,7,754,light,1
POLOA_7_754_pir_1,POLOA,7,754,pir,1
POLOA_7_776_co2_1,POLOA,7,776,co2,1
POLOA_7_776_humidity_1,POLOA,7,776,humidity,1
POLOA_7_776_temperature_1,POLOA,7,776,temperature,1
POLOA_7_776_light_1,POLOA,7,776,light,1
POLOA_7_776_pir_1,POLOA,7,776,pir,1
